"filename", "language", "JavaScript", "CSS", "XML", "Markdown", "JSON", "Python", "HTML", "comment", "blank", "total"
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Gallery.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Home.css", "CSS", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Home.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Homepage.css", "CSS", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Homepage.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Hours.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Hours.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Largeformat.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Largeformat.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 22, 217
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Mission.css", "CSS", 0, 79, 0, 0, 0, 0, 0, 0, 17, 96
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Mission.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\OurTeam.css", "CSS", 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\OurTeam.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 12, 88
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Ourservices.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Ourservices.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 11, 107
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Products.css", "CSS", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Products.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 6, 85
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Promotional.css", "CSS", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Promotional.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 1, 14, 126
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Quality.css", "CSS", 0, 50, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Quality.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 12, 86
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Questions.css", "CSS", 0, 57, 0, 0, 0, 0, 0, 2, 10, 69
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Questions.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 1, 5, 47
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Services.css", "CSS", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Services.js", "JavaScript", 298, 0, 0, 0, 0, 0, 0, 0, 30, 328
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Signages.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Signages.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 13, 98
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Singel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Single.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Slider.css", "CSS", 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Slider.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 1, 8, 95
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\TeamSeniors.css", "CSS", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\TeamSeniors.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Text-effect.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Text-effects.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Theteam.css", "CSS", 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Theteam.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Values.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Values.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 12, 96
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\VideoModal.css", "CSS", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\VideoModal.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Videos.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\components\pages\Videos.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 3, 19
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\edwin\Desktop\inklabwebsite\inlkab\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 2594, 996, 1, 38, 18435, 38, 20, 43, 592, 22757
